2020-09-18,111027,6841213,3rd Stage compressor wheel,RR6311,ML,NCR# 8818,WPG MRO
2020-09-18,111028,6841213,3rd Stage compressor wheel,RR5464,ML,NCR# 8824,WPG MRO
2020-09-18,111029,6841213,3rd Stage compressor wheel,WY12349,ML,NCR# 8825,WPG MRO
2020-09-18,111030,6841213,3rd Stage compressor wheel,RR6029,ML,NCR# 8826,WPG MRO
2020-09-18,111031,6841213,3rd Stage compressor wheel,WG0464,ML,NCR# 8829,WPG MRO
2020-09-18,111032,6841213,3rd Stage compressor wheel,RR6701,ML,NCR# 8830,WPG MRO
2020-09-18,111033,6841213,3rd Stage compressor wheel,RR6085,ML,NCR# 8831,WPG MRO
2020-09-18,111034,6841213,3rd Stage compressor wheel,RR10106,ML,NCR# 8832,WPG MRO
2020-09-18,111035,6841213,3rd Stage compressor wheel,RR4773,ML,NCR# 8833,WPG MRO
2020-09-21,63859,6890804,SUMP COVER,29989,DD,"QUARANTINE, NCR# 10255, SEAL BELOW MIN. THICKNESS, LARGE SEAL FAILED PRESS.TEST",WPG MRO
2020-09-24,68089,23032325,Exhaust collector,44694,ML,"Scrap Locally, part being used for weld salvage",WPG MRO
2020-10-05,NA,6871540,CLAMP,986,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,89357,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,ET16227,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,NSN,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,NSN3,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,89357,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,NSN1,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,EI10227,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,A10227,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-05,NA,23009851,TERMINAL,NSN4,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-07,NA,6895800,DISCHARGEED TUBE,SA2123,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-07,NA,6895800,DISCHARGEED TUBE,CH1346,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
2020-10-07,NA,6895800,DISCHARGEED TUBE,SL4031A,DD,"QUARANTINE, SCRAP UNSERVISABLE",WPG MRO
